year,district,plot_number
1880,Pietarin_esikaupunki,25
1885,Pietarin_esikaupunki,25
1890,Pietarin_esikaupunki,25
1895,Pietarin_esikaupunki,21
1895,Pietarin_esikaupunki,22
1895,Pietarin_esikaupunki,23
1895,Pietarin_esikaupunki,24
1915,Pietarin_esikaupunki,28
1880,Saunalahti,13
1890,Saunalahti,13
1895,Saunalahti,2
1895,Saunalahti,3
1895,Saunalahti,12
1895,Saunalahti,13
1895,Saunalahti,14
1895,Saunalahti,15
1900,Saunalahti,12
1900,Saunalahti,13
1900,Saunalahti,14
1900,Saunalahti,15
1900,Saunalahti,2
1900,Saunalahti,3
1905,Saunalahti,12
1905,Saunalahti,13
1905,Saunalahti,14
1905,Saunalahti,15
1905,Saunalahti,2
1905,Saunalahti,3
1910,Saunalahti,12
1910,Saunalahti,13
1910,Saunalahti,14
1910,Saunalahti,15
1910,Saunalahti,2
1910,Saunalahti,3
1915,Saunalahti,12
1915,Saunalahti,13
1915,Saunalahti,14
1915,Saunalahti,15
1915,Saunalahti,2
1915,Saunalahti,3
1920,Saunalahti,12
1920,Saunalahti,13
1920,Saunalahti,14
1920,Saunalahti,15
1920,Saunalahti,2
1920,Saunalahti,3
1895,Anina,29
1895,Anina,30
1900,Anina,29
1900,Anina,30
1905,Anina,29
1905,Anina,30
1910,Anina,29
1910,Anina,30
1915,Anina,29
1915,Anina,30
1910,Valli,116
1915,Valli,116